lot_id,arm,stress,substrate_id,metric,before,after,film_integrity_pass,calibration_complete,stress_history_match,contact_control_pass,optical_control_pass
L1,A0,T,S1,Pmax,1.0,0.787414882372688,true,true,true,true,true
L1,A0,T,S2,Pmax,1.0,0.793739466035243,true,true,true,true,true
L2,A0,T,S1,Pmax,1.0,0.795328533505094,true,true,true,true,true
L2,A0,T,S2,Pmax,1.0,0.801716680290195,true,true,true,true,true
L3,A0,T,S1,Pmax,1.0,0.800915364334659,true,true,true,true,true
L3,A0,T,S2,Pmax,1.0,0.807348385022681,true,true,true,true,true
L4,A0,T,S1,Pmax,1.0,0.80573530187348,true,true,true,true,true
L4,A0,T,S2,Pmax,1.0,0.812207036711939,true,true,true,true,true
L5,A0,T,S1,Pmax,1.0,0.811395235643411,true,true,true,true,true
L5,A0,T,S2,Pmax,1.0,0.817912431553859,true,true,true,true,true
L1,B0,T,S1,Pmax,1.0,0.730519028159425,true,true,true,true,true
L1,B0,T,S2,Pmax,1.0,0.7363866194561,true,true,true,true,true
L2,B0,T,S1,Pmax,1.0,0.74378742802018,true,true,true,true,true
L2,B0,T,S2,Pmax,1.0,0.749761592239041,true,true,true,true,true
L3,B0,T,S1,Pmax,1.0,0.752766644706196,true,true,true,true,true
L3,B0,T,S2,Pmax,1.0,0.758812930761241,true,true,true,true,true
L4,B0,T,S1,Pmax,1.0,0.758812930761241,true,true,true,true,true
L4,B0,T,S2,Pmax,1.0,0.764907781102864,true,true,true,true,true
L5,B0,T,S1,Pmax,1.0,0.767973539656706,true,true,true,true,true
L5,B0,T,S2,Pmax,1.0,0.774141968792248,true,true,true,true,true
L1,A0,L,S1,Pmax,1.0,0.88780780076195,true,true,true,true,true
L1,A0,L,S2,Pmax,1.0,0.894938748929031,true,true,true,true,true
L2,A0,L,S1,Pmax,1.0,0.894938748929031,true,true,true,true,true
L2,A0,L,S2,Pmax,1.0,0.902126973481516,true,true,true,true,true
L3,A0,L,S1,Pmax,1.0,0.900324522586266,true,true,true,true,true
L3,A0,L,S2,Pmax,1.0,0.907556006133273,true,true,true,true,true
L4,A0,L,S1,Pmax,1.0,0.90483741803596,true,true,true,true,true
L4,A0,L,S2,Pmax,1.0,0.91210514954509,true,true,true,true,true
L5,A0,L,S1,Pmax,1.0,0.909372934468231,true,true,true,true,true
L5,A0,L,S2,Pmax,1.0,0.916677095633152,true,true,true,true,true
L1,B0,L,S1,Pmax,1.0,0.795328533505094,true,true,true,true,true
L1,B0,L,S2,Pmax,1.0,0.801716680290195,true,true,true,true,true
L2,B0,L,S1,Pmax,1.0,0.807348385022681,true,true,true,true,true
L2,B0,L,S2,Pmax,1.0,0.813833076282921,true,true,true,true,true
L3,B0,L,S1,Pmax,1.0,0.815462371187293,true,true,true,true,true
L3,B0,L,S2,Pmax,1.0,0.822012234678187,true,true,true,true,true
L4,B0,L,S1,Pmax,1.0,0.822834658056018,true,true,true,true,true
L4,B0,L,S2,Pmax,1.0,0.829443736385404,true,true,true,true,true
L5,B0,L,S1,Pmax,1.0,0.830273594981933,true,true,true,true,true
L5,B0,L,S2,Pmax,1.0,0.836942423488768,true,true,true,true,true
