block_id,sequence_index,target_suns
R1,1,1.0014833820379043
R1,2,0.15834842630241697
R1,3,0.2511141876611476
R1,4,0.06296493419231937
R1,5,0.07929165875686217
R1,6,1.5881855715843545
R1,7,0.7952707287670506
R1,8,0.5014844822490394
R1,9,0.6315187484656023
R1,10,0.316227766016838
R1,11,0.05
R1,12,0.19940796483178033
R1,13,0.0998518815125134
R1,14,1.2611667048943616
R1,15,0.39822520954068735
R1,16,0.12574334296829356
R1,17,2.0
R2,1,2.0
R2,2,0.12574334296829356
R2,3,0.39822520954068735
R2,4,1.2611667048943616
R2,5,0.0998518815125134
R2,6,0.19940796483178033
R2,7,0.05
R2,8,0.316227766016838
R2,9,0.6315187484656023
R2,10,0.5014844822490394
R2,11,0.7952707287670506
R2,12,1.5881855715843545
R2,13,0.07929165875686217
R2,14,0.06296493419231937
R2,15,0.2511141876611476
R2,16,0.15834842630241697
R2,17,1.0014833820379043
R3,1,2.0
R3,2,0.12574334296829356
R3,3,0.6315187484656023
R3,4,0.15834842630241697
R3,5,0.5014844822490394
R3,6,0.07929165875686217
R3,7,0.7952707287670506
R3,8,1.0014833820379043
R3,9,0.316227766016838
R3,10,0.19940796483178033
R3,11,0.0998518815125134
R3,12,1.5881855715843545
R3,13,1.2611667048943616
R3,14,0.39822520954068735
R3,15,0.05
R3,16,0.2511141876611476
R3,17,0.06296493419231937
R4,1,0.06296493419231937
R4,2,0.2511141876611476
R4,3,0.05
R4,4,0.39822520954068735
R4,5,1.2611667048943616
R4,6,1.5881855715843545
R4,7,0.0998518815125134
R4,8,0.19940796483178033
R4,9,0.316227766016838
R4,10,1.0014833820379043
R4,11,0.7952707287670506
R4,12,0.07929165875686217
R4,13,0.5014844822490394
R4,14,0.15834842630241697
R4,15,0.6315187484656023
R4,16,0.12574334296829356
R4,17,2.0
