metric,value
n5_cross_study_status,CROSS_STUDY_METHOD_CONFLICT
n7_cross_study_status,CROSS_STUDY_LABEL_AGREEMENT_TOPOLOGICAL
n5_same_structure_status,NOT_ADJUDICATED_SAME_STRUCTURE
n7_same_structure_status,NOT_ADJUDICATED_SAME_STRUCTURE
n5_topological_diffusion_cm2_s_printed,1.760
n7_topological_diffusion_cm2_s_printed,0.440
n5_topological_trivial_ratio_exact,176/61
n7_topological_trivial_ratio_exact,440/103
n5_reach_gain_equal_lifetime,1.698601160261
n7_reach_gain_equal_lifetime,2.066844130600
n7_vs_n5_reach_equal_lifetime,0.500000000000
tau7_over_tau5_for_equal_topological_reach_exact,4/1
qg0d_primary_candidate,polyheptacene
qg0d_method_sensitivity_control,polypentacene
same_structure_method_consensus_claim,BLOCKED_PENDING_IDENTICAL_STRUCTURE_PBE_GW_ADJUDICATION
physical_result,NONE_EXTERNAL_COMPUTATIONAL_EVIDENCE_ONLY
