scenario,temperature_K,true_sigma_meV,mean_estimated_sigma_meV,bias_meV,rmse_meV,fit_failure_fraction
nominal,150.0,65.60110789917758,65.61472787276847,0.013619973590891732,0.1740254431234799,0.0
nominal,240.0,80.46182820070322,80.4448471534205,-0.016981047282726536,0.19893679053031432,0.0
nominal,300.0,89.2859086289814,89.27053434141841,-0.01537428756299164,0.24929343310299826,0.0
nominal,330.0,93.42404930350544,93.42567452844327,0.0016252249378254646,0.2620531003371728,0.0
cal_slope_2pct,150.0,65.60110789917758,65.60907939452727,0.007971495349693214,0.17342163883621803,0.0
cal_slope_2pct,240.0,80.46182820070322,80.43458931517492,-0.027238885528305445,0.19950773109431313,0.0
cal_slope_2pct,300.0,89.2859086289814,89.25638713556687,-0.029521493414534916,0.24989542636421835,0.0
cal_slope_2pct,330.0,93.42404930350544,93.40954348220347,-0.014505821301966648,0.2617107451323991,0.0
background_minus10pct,150.0,65.60110789917758,65.23284776655613,-0.36826013262144386,0.4052774293781939,0.0
background_minus10pct,240.0,80.46182820070322,79.99061223934432,-0.471215961358908,0.5096680644240996,0.0
background_minus10pct,300.0,89.2859086289814,88.78196898405675,-0.5039396449246567,0.559546174348038,0.0
background_minus10pct,330.0,93.42404930350544,92.92220313131907,-0.5018461721863758,0.5636216697516578,0.0
background_plus10pct,150.0,65.60110789917758,66.00227983706858,0.40117193789100725,0.43891812152507925,0.0
background_plus10pct,240.0,80.46182820070322,80.90765166587018,0.4458234651669528,0.4897278194108174,0.0
background_plus10pct,300.0,89.2859086289814,89.77128821157272,0.48537958259132097,0.5482913904103012,0.0
background_plus10pct,330.0,93.42404930350544,93.94385365797235,0.5198043544669133,0.5849648722009142,0.0
