facility_id,question_id,capability_id,response,evidence_date,evidence_url_or_contact,configuration_limits,conditions,raw_data_commitment,uncertainty_provenance_commitment,scheduling_or_access_note,shipping_or_ehs_note,data_rights_note,notes
CANDIDATE,G01,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,G02,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,G03,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,G04,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,G05,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,G06,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,G07,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,G08,GLOBAL,UNKNOWN,,,,,,,,,,
CANDIDATE,C01A,reference_detector_traceability,UNKNOWN,,,,,,,,,,
CANDIDATE,C01B,reference_detector_traceability,UNKNOWN,,,,,,,,,,
CANDIDATE,C02A,spectral_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C02B,spectral_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C03A,linearity_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C03B,linearity_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C04A,repeatability_campaign,UNKNOWN,,,,,,,,,,
CANDIDATE,C04B,repeatability_campaign,UNKNOWN,,,,,,,,,,
CANDIDATE,C05A,electrical_step_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C05B,electrical_step_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C06A,optical_step_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C06B,optical_step_characterization,UNKNOWN,,,,,,,,,,
CANDIDATE,C07A,voc_intensity_acquisition,UNKNOWN,,,,,,,,,,
CANDIDATE,C07B,voc_intensity_acquisition,UNKNOWN,,,,,,,,,,
